case_id,summary,status,time_to_solve,lat,lon,date_reported,location_desc
0038c32d-9575-4b64-8f9c-3ddb67c992a0,"Ready reveal now season fish.",Open,71,-78.633935,13.84119,2024-09-14,Maryborough
00a530c7-43f6-4488-891b-d03956cab073,"Report song find can.",Open,5,13.4784005,-50.531515,2024-10-22,Pittshaven
00ac0951-525c-46b0-b9d4-2860b00bd73b,"Set else speech collection attention.",Closed,1,-67.3264495,-33.995264,2025-04-19,Mccarthyshire
01424869-9c7e-46be-9f51-0f831241da50,"Reality kid chair training same season.","Under Investigation",83,-74.96647,94.843228,2025-01-21,"East Jorgeside"
017380c7-b156-4beb-86a8-420b528d99c0,"Land town ahead every bad get its late.",Closed,55,-28.6086215,-139.173209,2025-04-24,Williamland
01c66e5a-d9f8-4fc5-a4ab-164e58ffe773,"Both wife human set.","Under Investigation",59,55.198644,-69.079653,2025-02-19,"Port Christopherhaven"
021016bb-2ec0-4671-93ae-bc9925444b82,"Arm large out simple question present control.",Open,33,86.119083,-179.278814,2024-06-09,Halechester
0249af85-3fb5-4a6a-b595-482422548ee2,"Care too likely final standard almost such.",Open,83,26.7881295,142.933071,2025-05-17,Daltonstad
02f31d11-08d9-42f1-bb1a-1929feabb866,"Claim energy bag south agency Democrat total.",Open,88,38.0942245,-34.167244,2025-05-08,"North Thomaston"
0304da10-eedb-4855-9ca6-126f83152df4,"Own environmental area later culture.",Open,33,-67.105931,-126.434756,2025-02-20,Melissaborough
035bf6fb-e204-4f8b-83c9-3039b613f217,"Letter act within Republican clear again.",Closed,25,-20.971271,-61.918266,2024-09-04,"New Kristen"
03844b82-d0b6-428c-985c-d4c3fbaedb07,"Around listen affect much certain a.","Under Investigation",61,-83.7104255,-3.504471,2024-10-10,Anthonyfort
038d058a-eff6-4e9e-94f4-fc21887da4c1,"Nice day trial again she our sister to.","Under Investigation",12,-19.372263,-171.97062,2024-08-14,"Lake Susanville"
03c26a02-a45b-4b2d-bc23-3fb3646f1402,"Could big team word half thank.",Closed,61,-53.619447,-49.902774,2025-01-15,"New Tanner"
0445e3bd-5a78-4b71-8edc-ec90b6ba25bd,"Manage section back perhaps.",Open,73,18.678569,-80.57812,2025-05-17,"East Bryan"
049e7a14-f038-4b06-93ac-9a08d68b01e8,"Tax house none admit not she reduce.",Closed,66,16.2510585,139.648724,2024-06-28,Russellmouth
04c0222a-7c35-4e94-9020-b94e4dbd086e,"Social simply assume no.",Closed,5,-13.2397235,151.982419,2024-11-18,"Lake Mathewstad"
051b40c1-5512-4dfc-a347-32bd82f45f98,"Also all nation commercial operation hear woman.",Open,44,-7.6971025,117.803782,2024-09-20,"West Jose"
